Departamento_1,Region_1
AMAZONAS,AMAZONÍA
ANTIOQUIA,CENTRAL
ARAUCA,ORINOQUÍA
ATLÁNTICO,CARIBE
BOLÍVAR,CARIBE
BOYACÁ,CENTRAL
CALDAS,EJE CAFETERO
CAQUETÁ,AMAZONÍA
CASANARE,ORINOQUÍA
CAUCA,PACÍFICO
CESAR,CARIBE
CHOCÓ,PACÍFICO
CÓRDOBA,CARIBE
GUAINÍA,AMAZONÍA
GUAVIARE,ORINOQUÍA
HUILA,CENTRAL
LA GUAJIRA,CARIBE
MAGDALENA,CARIBE
META,ORINOQUÍA
NARIÑO,PACÍFICO
NORTE DE SANTANDER,CENTRAL
PUTUMAYO,AMAZONÍA
QUINDÍO,EJE CAFETERO
RISARALDA,EJE CAFETERO
SAN ANDRÉS,CARIBE
SANTANDER,CENTRAL
SUCRE,CARIBE
TOLIMA,CENTRAL
VALLE DEL CAUCA,PACÍFICO
VAUPÉS,AMAZONÍA
VICHADA,AMAZONÍA
